uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:56L4CmXHNQzwF3mt4GrPsM,0.723,0.725,-4.468,0.0367,0.104,2.5e-06,0.077,0.392,97.042
spotify:track:1RI0nXipszDLnn6gCLWwx3,0.759,0.639,-6.521,0.0484,0.238,0.00058,0.165,0.517,115.926
spotify:track:0PkpRtJqrwuXhbdtJuQm7E,0.597,0.458,-8.295,0.0609,0.809,0.0,0.105,0.184,90.15
spotify:track:39qmiUuzjdCnn9FGAutekp,0.403,0.517,-5.632,0.122,0.776,0.0,0.146,0.691,171.893
spotify:track:2FtYsP6u4KUCFBacPHlFi6,0.628,0.495,-9.371,0.0634,0.201,1.82e-05,0.382,0.365,149.746
spotify:track:0inDmDmSGkTRVqURPRqhVZ,0.745,0.594,-6.758,0.0679,0.261,0.00112,0.0837,0.765,79.017
spotify:track:2CTPgzH39uhpUjZjMXEUvO,0.79,0.583,-4.696,0.13,0.492,0.0,0.185,0.738,85.023
spotify:track:5IiN9nsMCDRlInU3QcXfqM,0.959,0.414,-6.792,0.041,0.405,0.000818,0.075,0.871,107.949
spotify:track:084FkT1AH865kzRCscjoCI,0.46,0.303,-8.931,0.067,0.93,2.44e-06,0.123,0.24,79.018
spotify:track:6WQ0UmO1adVf9pHrpsY48y,0.763,0.532,-6.353,0.0594,0.811,0.0,0.0975,0.437,142.121
spotify:track:3woXnjYYyZ66vPg3lutPDj,0.656,0.369,-6.348,0.0354,0.565,0.0,0.197,0.787,77.987
spotify:track:4JHbjHpTmqjdzDGJWWgACq,0.819,0.633,-4.964,0.0463,0.245,3.46e-06,0.257,0.616,128.015
spotify:track:3b6hdvwUxqG7A45NNE876I,0.796,0.539,-5.61,0.22,0.703,0.0,0.113,0.929,74.028
spotify:track:5LtdONjeNrD1e77InAyPIF,0.777,0.911,-5.218,0.108,0.0702,0.0,0.336,0.794,111.002
spotify:track:3Y5ZCaZHkaj2VxVEsAgVA4,0.701,0.825,-4.097,0.16,0.216,2.19e-06,0.0971,0.553,92.472
spotify:track:2ow1zJpeUD8eDm0KsoxvkS,0.828,0.648,-4.872,0.112,0.621,0.0,0.2,0.801,120.028
