uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:15vzANxN8G9wWfwAJLLMCg,0.646,0.644,-6.763,0.031,0.0243,0.0,0.0888,0.251,99.999
spotify:track:5GuOib2Ka6rZd5mrE7t3OH,0.435,0.738,-6.417,0.0393,0.108,0.0,0.136,0.665,180.06
spotify:track:12ETi2w2bvoPRkKFmBWBlI,0.557,0.666,-7.685,0.0331,0.0804,0.0,0.19,0.626,104.412
spotify:track:3eR3lWuvQqOzhTn91nbRCa,0.554,0.824,-5.897,0.0496,0.0128,0.000802,0.476,0.963,168.956
spotify:track:6jTYr84cD5wu8gxDLhDPh4,0.431,0.351,-6.86,0.0284,0.789,0.000173,0.0879,0.166,108.558
spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
spotify:track:5KjXOF5S3M3AT1LdXDBVEt,0.471,0.945,-2.871,0.0452,0.0108,0.0,0.261,0.706,150.982
spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
spotify:track:0dA2Mk56wEzDgegdC6R17g,0.679,0.634,-5.024,0.0654,0.232,0.0,0.115,0.498,102.013
spotify:track:1mlWSPw2Zuk8CHOf6W34Sp,0.622,0.863,-4.566,0.0336,0.00414,0.0,0.168,0.689,107.003
spotify:track:02ekL8dbWrSKqAnQlpZYtu,0.845,0.782,-3.69,0.0336,0.0452,0.0,0.0665,0.894,123.581
spotify:track:76XFbyEbOSiEvekMu9MEBQ,0.379,0.806,-1.83,0.0591,0.0672,0.0,0.117,0.576,78.818
spotify:track:26h6qDR3KtieqIWgnveqmC,0.463,0.245,-9.438,0.0387,0.957,0.0,0.089,0.395,129.415
spotify:track:5HtVPWPvZerBTccTps2lat,0.498,0.725,-4.639,0.0892,0.0326,0.0,0.0896,0.269,166.14
spotify:track:7M7eanIuxFd9IgaB8rAP7b,0.505,0.7,-6.585,0.0415,0.0916,4.8e-06,0.0908,0.321,162.107
spotify:track:5yWbElt1ZZs4rWdSBQo0dQ,0.589,0.571,-7.105,0.043,0.00186,0.0,0.107,0.268,124.995
spotify:track:53Mw8iczClGHqbXeKn9U72,0.693,0.788,-6.792,0.0358,0.00159,1.85e-06,0.301,0.595,97.001
spotify:track:5TRxRgfNBFHkMdc4G80D7H,0.523,0.785,-6.847,0.0422,0.0286,1.85e-06,0.174,0.249,132.967
spotify:track:3tWp93Y61r4j6ASXbJVUL9,0.645,0.39,-9.26,0.0397,0.59,0.0141,0.159,0.703,98.98
spotify:track:3lDEK0KYOFZNjuLpVzxP0b,0.634,0.818,-5.411,0.0432,0.00264,0.0,0.639,0.708,128.009
spotify:track:77wK0i1z9Uo52ceGUP11uj,0.611,0.893,-3.593,0.0948,0.188,4.55e-06,0.121,0.733,104.951
spotify:track:1nzpdu7rauxnEg1nhhAbMZ,0.702,0.581,-5.368,0.0335,0.238,0.0,0.0566,0.934,113.997
spotify:track:1x5sYLZiu9r5E43kMlt9f8,0.707,0.629,-4.581,0.0563,0.259,1.6e-05,0.138,0.457,122.863
spotify:track:4Q4jmPHwu0wrJvqrld0FQ6,0.486,0.713,-3.949,0.0524,0.0853,0.0,0.0839,0.297,121.028
spotify:track:082dvln9geqoUZx79tQJ0I,0.598,0.76,-4.463,0.0345,0.132,0.0039,0.0955,0.472,146.099
spotify:track:2OpY5KKUvkYAkiY8FEG1Wi,0.616,0.83,-4.757,0.034,0.0151,7.44e-06,0.102,0.732,115.01
spotify:track:73Iyy1U5QR96t7YPPDrEKb,0.656,0.92,-4.443,0.0588,0.00434,0.0,0.173,0.622,116.99
spotify:track:05KfyCEE6otdlT1pp2VIjP,0.772,0.775,-4.388,0.112,0.0417,0.0,0.226,0.748,124.978
spotify:track:0oP9pK1D1lNF3Lb7jkl6Xx,0.608,0.841,-3.798,0.0464,0.00593,0.0573,0.121,0.274,167.969
spotify:track:3QmOiZF7IzJJkHnahh5Ea0,0.767,0.631,-6.762,0.0541,0.0997,0.0,0.119,0.541,100.968
spotify:track:0afhq8XCExXpqazXczTSve,0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943
spotify:track:11Fo4dAH31K7UZHGqCkCmE,0.654,0.859,-4.321,0.166,0.336,0.0,0.0947,0.704,114.87
spotify:track:2pJZ1v8HezrAoZ0Fhzby92,0.838,0.492,-5.69,0.038,0.251,0.0,0.262,0.895,115.092
spotify:track:2i0AUcEnsDm3dsqLrFWUCq,0.686,0.783,-4.977,0.119,0.0764,0.0,0.163,0.814,99.978
spotify:track:7zOs2hkIhTL8Bipkj9LZd0,0.617,0.733,-3.76,0.0424,0.0276,0.0,0.0962,0.719,149.019
spotify:track:45pQlGqXDJDhgR4GKPbd7r,0.641,0.661,-6.574,0.0295,0.114,0.000318,0.0847,0.319,100.025
spotify:track:2Gr9qpep106PgPthPf9RJ5,0.588,0.9,-4.727,0.141,0.0651,0.0268,0.372,0.461,101.941
spotify:track:5XJREWO2HkuBLqKlTa0vl5,0.587,0.807,-4.022,0.0623,0.05,0.000884,0.224,0.221,160.112
spotify:track:4AItpgq55SSrjwuXpa598y,0.619,0.649,-8.281,0.0611,0.667,0.0,0.107,0.508,92.077
spotify:track:7jO1boY6qwRjeu0EBtvDuu,0.658,0.919,-2.455,0.171,0.166,0.0,0.123,0.516,127.916
spotify:track:4urcG6Nfubqsuqy3juMjBi,0.765,0.765,-2.732,0.0585,0.00765,3.82e-06,0.0527,0.886,120.001
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066
spotify:track:2fZQIJew3nkNe99s2PKzul,0.965,0.414,-6.408,0.0713,0.189,0.0,0.0767,0.728,121.032
spotify:track:39IsH7B5byx8NRlEKlZVg9,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03
